SEXE;NAFG038UN;CSER_OCC;POURCENT;POPOCC
2;MA;4;13.5;155.2
1;MA;4;13.4;154.0
3;MA;3;52.3;598.9
2;MA;3;21.0;241.0
1;MA;3;31.2;357.9
3;MA;2;4.9;56.7
2;MA;2;1.6;18.3
1;MA;2;3.4;38.4
3;MA;1;0.0;0.2
1;MA;1;0.0;0.2
3;LZ;z;100.0;322.0
2;LZ;z;58.7;188.9
1;LZ;z;41.3;133.1
3;LZ;6;9.3;29.9
2;LZ;6;5.1;16.6
1;LZ;6;4.1;13.3
3;LZ;5;24.8;79.7
2;LZ;5;16.2;52.3
1;LZ;5;8.5;27.4
3;LZ;4;30.2;97.3
2;LZ;4;20.7;66.5
1;LZ;4;9.6;30.8
3;LZ;3;15.9;51.1
2;LZ;3;8.6;27.8
1;LZ;3;7.2;23.3
3;LZ;2;19.8;63.8
2;LZ;2;8.0;25.6
1;LZ;2;11.9;38.2
3;KZ;z;100.0;916.1
2;KZ;z;56.6;518.7
1;KZ;z;43.4;397.5
3;KZ;6;2.0;18.6
2;KZ;6;0.7;6.4
1;KZ;6;1.3;12.1
3;KZ;5;25.9;237.7
2;KZ;5;19.9;182.2
1;KZ;5;6.1;55.5
3;KZ;4;23.0;211.1
2;KZ;4;15.0;137.1
1;KZ;4;8.1;74.0
3;KZ;3;44.5;407.7
2;KZ;3;20.0;183.5
1;KZ;3;24.5;224.2
3;KZ;2;4.4;40.0
2;KZ;2;1.0;9.0
1;KZ;2;3.4;31.0
3;JC;z;100.0;501.5
2;JC;z;25.6;128.4
1;JC;z;74.4;373.1
3;JC;6;1.2;6.2
2;JC;6;0.4;2.0
1;JC;6;0.8;4.2
3;JC;5;6.5;32.6
2;JC;5;3.1;15.4
1;JC;5;3.4;17.2
3;JC;4;20.2;101.4
2;JC;4;6.5;32.4
1;JC;4;13.8;69.0
3;JC;3;68.1;341.5
2;JC;3;15.1;75.7
1;JC;3;53.0;265.8
3;JC;2;3.9;19.6
2;JC;2;0.5;2.7
1;JC;2;3.4;16.9
3;JB;z;100.0;96.2
2;JB;z;32.5;31.3
1;JB;z;67.5;64.9
3;JB;6;2.4;2.3
2;JB;6;0.3;0.2
1;JB;6;2.2;2.1
3;JB;5;8.4;8.1
2;JB;5;4.8;4.6
1;JB;5;3.7;3.5
3;JB;4;39.4;37.9
2;JB;4;13.8;13.2
1;JB;4;25.6;24.6
3;JB;3;49.2;47.3
2;JB;3;13.7;13.2
1;JB;3;35.5;34.1
3;JB;2;0.6;0.5
1;JB;2;0.6;0.5
3;JA;z;100.0;276.6
2;JA;z;40.9;113.1
1;JA;z;59.1;163.5
3;JA;6;3.8;10.5
2;JA;6;2.0;5.4
1;JA;6;1.9;5.1
3;JA;5;9.3;25.7
2;JA;5;6.3;17.5
1;JA;5;3.0;8.2
3;JA;4;21.3;58.9
2;JA;4;9.5;26.2
1;JA;4;11.8;32.7
3;JA;3;62.0;171.6
2;JA;3;22.1;61.2
1;JA;3;39.9;110.4
3;JA;2;3.4;9.5
2;JA;2;1.0;2.8
1;JA;2;2.4;6.7
3;JA;1;0.1;0.4
1;JA;1;0.1;0.4
3;IZ;z;100.0;1022.5
2;IZ;z;47.8;488.9
1;IZ;z;52.2;533.6
3;IZ;6;17.5;179.1
2;IZ;6;4.1;41.9
1;IZ;6;13.4;137.2
3;IZ;5;45.2;462.0
2;IZ;5;29.1;297.6
1;IZ;5;16.1;164.4
3;IZ;4;14.9;152.0
2;IZ;4;5.9;60.8
1;IZ;4;8.9;91.2
3;IZ;3;6.1;62.6
2;IZ;3;2.3;23.7
1;IZ;3;3.8;38.9
3;IZ;2;16.1;164.4
2;IZ;2;6.3;64.3
1;IZ;2;9.8;100.2
3;IZ;1;0.2;1.8
2;IZ;1;0.0;0.0
1;IZ;1;0.2;1.7
3;HZ;z;100.0;1411.3
2;HZ;z;25.7;362.3
1;HZ;z;74.3;1049.0
3;HZ;6;48.5;684.2
2;HZ;6;5.7;79.9
1;HZ;6;42.8;604.3
3;HZ;5;17.1;241.5
2;HZ;5;9.7;137.4
1;HZ;5;7.4;104.1
3;HZ;4;16.0;225.5
2;HZ;4;5.8;82.1
1;HZ;4;10.2;143.4
3;HZ;3;11.3;159.9
2;HZ;3;3.9;55.0
1;HZ;3;7.4;104.8
3;HZ;2;7.0;99.2
2;HZ;2;0.6;7.8
1;HZ;2;6.5;91.4
3;HZ;1;0.0;0.3
1;HZ;1;0.0;0.3
3;GZ;z;100.0;3397.0
2;GZ;z;47.0;1596.9
1;GZ;z;53.0;1800.2
3;GZ;6;17.6;599.1
2;GZ;6;3.1;106.3
1;GZ;6;14.5;492.8
3;GZ;5;34.5;1172.9
2;GZ;5;24.4;828.6
1;GZ;5;10.1;344.3
3;GZ;4;22.7;771.4
2;GZ;4;10.8;366.5
1;GZ;4;11.9;404.8
3;GZ;3;12.2;414.6
2;GZ;3;4.7;159.9
1;GZ;3;7.5;254.6
3;GZ;2;12.7;431.4
2;GZ;2;3.9;133.6
1;GZ;2;8.8;297.8
3;GZ;1;0.1;4.1
2;GZ;1;0.0;1.3
1;GZ;1;0.1;2.8
3;FZ;z;100.0;1823.5
2;FZ;z;10.5;190.8
1;FZ;z;89.5;1632.7
3;FZ;6;47.8;872.5
2;FZ;6;0.7;12.0
1;FZ;6;47.2;860.5
3;FZ;5;4.8;88.0
2;FZ;5;4.3;78.0
1;FZ;5;0.5;10.0
3;FZ;4;17.1;312.3
2;FZ;4;2.8;51.3
1;FZ;4;14.3;261.0
3;FZ;3;7.7;141.3
2;FZ;3;1.4;25.0
1;FZ;3;6.4;116.3
3;FZ;2;22.3;407.3
2;FZ;2;1.3;24.4
1;FZ;2;21.0;382.9
3;FZ;1;0.0;0.0
1;FZ;1;0.0;0.0
3;EZ;z;100.0;209.1
2;EZ;z;23.6;49.4
1;EZ;z;76.4;159.7
3;EZ;6;48.8;102.1
2;EZ;6;2.9;6.2
1;EZ;6;45.9;95.9
3;EZ;5;14.4;30.0
2;EZ;5;9.1;19.1
1;EZ;5;5.2;11.0
3;EZ;4;24.1;50.3
2;EZ;4;7.9;16.5
1;EZ;4;16.2;33.8
3;EZ;3;10.9;22.8
2;EZ;3;3.5;7.4
1;EZ;3;7.3;15.4
3;EZ;2;1.9;3.9
2;EZ;2;0.1;0.3
1;EZ;2;1.7;3.6
3;DZ;z;100.0;217.9
2;DZ;z;24.9;54.2
1;DZ;z;75.1;163.7
3;DZ;6;6.0;13.1
2;DZ;6;0.2;0.4
1;DZ;6;5.8;12.7
3;DZ;5;5.1;11.1
2;DZ;5;3.9;8.5
1;DZ;5;1.2;2.6
3;DZ;4;62.6;136.5
2;DZ;4;13.8;30.1
1;DZ;4;48.8;106.4
3;DZ;3;24.8;54.0
2;DZ;3;6.7;14.6
1;DZ;3;18.1;39.5
3;DZ;2;0.5;1.2
2;DZ;2;0.2;0.4
1;DZ;2;0.3;0.8
3;DZ;1;0.9;2.0
2;DZ;1;0.1;0.3
1;DZ;1;0.8;1.7
3;CM;z;100.0;336.4
2;CM;z;24.3;81.8
1;CM;z;75.7;254.7
3;CM;6;35.7;120.1
2;CM;6;6.9;23.1
1;CM;6;28.8;97.1
3;CM;5;5.6;18.9
2;CM;5;4.4;14.7
1;CM;5;1.2;4.2
3;CM;4;31.9;107.3
2;CM;4;6.3;21.1
1;CM;4;25.6;86.2
3;CM;3;13.1;44.2
2;CM;3;4.0;13.4
1;CM;3;9.1;30.8
3;CM;2;13.6;45.8
2;CM;2;2.8;9.3
1;CM;2;10.9;36.5
3;CL;z;100.0;409.4
2;CL;z;20.3;82.9
1;CL;z;79.7;326.4
3;CL;6;44.2;180.8
2;CL;6;7.8;32.0
1;CL;6;36.4;148.8
3;CL;5;3.2;13.1
2;CL;5;2.1;8.5
1;CL;5;1.1;4.6
3;CL;4;27.6;113.0
2;CL;4;5.0;20.6
1;CL;4;22.6;92.5
3;CL;3;24.5;100.4
2;CL;3;5.3;21.8
1;CL;3;19.2;78.7
3;CL;2;0.4;1.7
1;CL;2;0.4;1.7
3;CK;z;100.0;213.5
2;CK;z;15.7;33.4
1;CK;z;84.3;180.1
3;CK;6;40.9;87.4
2;CK;6;4.6;9.9
1;CK;6;36.3;77.5
3;CK;5;4.5;9.6
2;CK;5;3.9;8.4
1;CK;5;0.6;1.2
3;CK;4;30.3;64.6
2;CK;4;3.9;8.3
1;CK;4;26.4;56.3
3;CK;3;22.0;46.9
2;CK;3;2.8;6.0
1;CK;3;19.2;40.9
3;CK;2;2.3;5.0
2;CK;2;0.4;0.9
1;CK;2;1.9;4.1
3;CJ;z;100.0;104.6
2;CJ;z;29.6;31.0
1;CJ;z;70.4;73.6
3;CJ;6;41.2;43.1
2;CJ;6;14.9;15.6
1;CJ;6;26.3;27.5
3;CJ;5;3.0;3.1
2;CJ;5;2.6;2.7
1;CJ;5;0.4;0.4
3;CJ;4;26.6;27.9
2;CJ;4;5.6;5.9
1;CJ;4;21.0;22.0
3;CJ;3;26.2;27.5
2;CJ;3;6.3;6.6
1;CJ;3;19.9;20.9
3;CJ;2;2.8;2.9
2;CJ;2;0.0;0.0
1;CJ;2;2.8;2.9
3;CI;z;100.0;154.0
2;CI;z;32.5;50.0
1;CI;z;67.5;104.0
3;CI;6;30.8;47.5
2;CI;6;16.1;24.8
1;CI;6;14.8;22.7
3;CI;5;2.7;4.2
2;CI;5;2.0;3.1
1;CI;5;0.7;1.1
3;CI;4;25.6;39.4
2;CI;4;7.2;11.1
1;CI;4;18.4;28.3
3;CI;3;40.6;62.5
2;CI;3;7.2;11.0
1;CI;3;33.4;51.5
3;CI;2;0.2;0.4
1;CI;2;0.2;0.4
3;CH;z;100.0;418.8
2;CH;z;16.9;70.7
1;CH;z;83.1;348.1
3;CH;6;54.9;229.8
2;CH;6;7.2;29.9
1;CH;6;47.7;199.8
3;CH;5;4.5;18.8
2;CH;5;3.6;15.3
1;CH;5;0.8;3.5
3;CH;4;28.4;118.9
2;CH;4;4.2;17.7
1;CH;4;24.2;101.2
3;CH;3;9.0;37.7
2;CH;3;1.5;6.3
1;CH;3;7.5;31.4
3;CH;2;3.1;13.0
2;CH;2;0.3;1.4
1;CH;2;2.8;11.6
3;CG;z;100.0;311.2
2;CG;z;24.6;76.7
1;CG;z;75.4;234.5
3;CG;6;53.5;166.5
2;CG;6;11.2;35.0
1;CG;6;42.3;131.5
3;CG;5;3.7;11.6
2;CG;5;3.1;9.6
1;CG;5;0.6;2.0
3;CG;4;24.5;76.3
2;CG;4;5.8;18.2
1;CG;4;18.7;58.1
3;CG;3;14.0;43.4
2;CG;3;3.2;9.8
1;CG;3;10.8;33.6
3;CG;2;4.3;13.4
2;CG;2;1.3;4.0
1;CG;2;3.0;9.3
3;CF;z;100.0;89.1
2;CF;z;49.1;43.7
1;CF;z;50.9;45.3
3;CF;6;23.1;20.5
2;CF;6;10.8;9.6
1;CF;6;12.3;11.0
3;CF;5;0.7;0.6
2;CF;5;0.4;0.3
1;CF;5;0.3;0.3
3;CF;4;48.2;42.9
2;CF;4;23.2;20.7
1;CF;4;25.0;22.3
3;CF;3;27.2;24.3
2;CF;3;14.1;12.6
1;CF;3;13.1;11.7
3;CF;2;0.8;0.7
2;CF;2;0.6;0.5
1;CF;2;0.2;0.2
3;CE;z;100.0;163.2
2;CE;z;35.3;57.6
1;CE;z;64.7;105.6
3;CE;6;28.8;47.1
2;CE;6;7.2;11.8
1;CE;6;21.6;35.3
3;CE;5;4.9;8.0
2;CE;5;2.7;4.5
1;CE;5;2.2;3.5
3;CE;4;38.7;63.2
2;CE;4;11.7;19.1
1;CE;4;27.0;44.1
3;CE;3;25.3;41.3
2;CE;3;13.3;21.6
1;CE;3;12.0;19.6
3;CE;2;2.0;3.3
2;CE;2;0.3;0.5
1;CE;2;1.7;2.8
3;CE;1;0.2;0.4
2;CE;1;0.1;0.1
1;CE;1;0.2;0.3
3;CD;z;100.0;6.7
2;CD;z;13.7;0.9
1;CD;z;86.3;5.7
3;CD;6;15.6;1.0
1;CD;6;15.6;1.0
3;CD;5;3.4;0.2
1;CD;5;3.4;0.2
3;CD;4;63.9;4.3
2;CD;4;9.7;0.6
1;CD;4;54.3;3.6
3;CD;3;13.1;0.9
1;CD;3;13.1;0.9
3;CD;2;4.0;0.3
2;CD;2;4.0;0.3
3;CC;z;100.0;186.8
2;CC;z;25.8;48.2
1;CC;z;74.2;138.6
3;CC;6;52.6;98.3
2;CC;6;9.8;18.3
1;CC;6;42.8;80.0
3;CC;5;5.7;10.6
2;CC;5;4.9;9.1
1;CC;5;0.8;1.5
3;CC;4;22.6;42.2
2;CC;4;7.5;13.9
1;CC;4;15.1;28.3
3;CC;3;9.9;18.5
2;CC;3;2.8;5.2
1;CC;3;7.1;13.3
3;CC;2;9.1;17.0
2;CC;2;0.9;1.6
1;CC;2;8.2;15.3
3;CC;1;0.1;0.2
1;CC;1;0.1;0.2
3;CB;z;100.0;121.1
2;CB;z;64.8;78.5
1;CB;z;35.2;42.6
3;CB;6;54.5;66.0
2;CB;6;37.2;45.1
1;CB;6;17.3;20.9
3;CB;5;4.0;4.8
2;CB;5;3.3;4.0
1;CB;5;0.7;0.8
3;CB;4;15.1;18.2
2;CB;4;9.1;11.0
1;CB;4;6.0;7.2
3;CB;3;11.8;14.3
2;CB;3;5.1;6.2
1;CB;3;6.7;8.1
3;CB;2;14.6;17.7
2;CB;2;10.1;12.2
1;CB;2;4.6;5.5
3;CA;z;100.0;679.7
2;CA;z;43.5;296.0
1;CA;z;56.5;383.7
3;CA;6;55.0;373.8
2;CA;6;18.8;127.8
1;CA;6;36.2;246.0
3;CA;5;13.3;90.4
2;CA;5;12.0;81.9
1;CA;5;1.2;8.5
3;CA;4;16.5;112.1
2;CA;4;6.9;47.1
1;CA;4;9.6;65.1
3;CA;3;8.8;60.1
2;CA;3;3.5;23.6
1;CA;3;5.4;36.5
3;CA;2;6.1;41.4
2;CA;2;2.3;15.4
1;CA;2;3.8;26.0
3;CA;1;0.1;0.9
2;CA;1;0.0;0.2
1;CA;1;0.1;0.7
3;BZ;z;100.0;24.1
2;BZ;z;12.0;2.9
1;BZ;z;88.0;21.2
3;BZ;6;55.4;13.3
1;BZ;6;55.4;13.3
3;BZ;5;6.2;1.5
2;BZ;5;5.4;1.3
1;BZ;5;0.8;0.2
3;BZ;4;16.9;4.1
2;BZ;4;1.5;0.4
1;BZ;4;15.4;3.7
3;BZ;3;19.9;4.8
2;BZ;3;5.1;1.2
1;BZ;3;14.8;3.6
3;BZ;2;1.5;0.4
1;BZ;2;1.5;0.4
3;AZ;z;100.0;678.3
2;AZ;z;28.8;195.4
1;AZ;z;71.2;482.9
3;AZ;6;33.0;224.0
2;AZ;6;8.6;58.0
1;AZ;6;24.5;166.0
3;AZ;5;2.6;17.8
2;AZ;5;2.3;15.4
1;AZ;5;0.4;2.4
3;AZ;4;4.9;32.9
2;AZ;4;2.0;13.8
1;AZ;4;2.8;19.2
3;AZ;3;1.7;11.6
2;AZ;3;0.7;4.7
1;AZ;3;1.0;6.9
3;AZ;2;0.8;5.2
2;AZ;2;0.1;0.5
1;AZ;2;0.7;4.8
3;AZ;1;57.0;386.7
2;AZ;1;15.2;103.0
1;AZ;1;41.8;283.7
3;RU;z;100.0;1524.8
2;RU;z;66.9;1020.2
1;RU;z;33.1;504.5
3;RU;6;7.5;114.4
2;RU;6;2.4;36.3
1;RU;6;5.1;78.1
3;RU;5;41.9;638.7
2;RU;5;36.2;552.4
1;RU;5;5.7;86.3
3;RU;4;22.4;340.8
2;RU;4;11.8;179.7
1;RU;4;10.6;161.1
3;RU;3;16.3;248.4
2;RU;3;8.3;126.5
1;RU;3;8.0;121.8
3;RU;2;11.8;180.1
2;RU;2;8.1;123.7
1;RU;2;3.7;56.4
3;RU;1;0.0;0.8
2;RU;1;0.0;0.4
1;RU;1;0.0;0.4
3;OQ;z;100.0;8472.7
2;OQ;z;68.8;5832.9
1;OQ;z;31.2;2639.8
3;OQ;6;5.5;462.8
2;OQ;6;1.2;100.8
1;OQ;6;4.3;362.0
3;OQ;5;41.3;3500.1
2;OQ;5;32.7;2769.4
1;OQ;5;8.6;730.7
3;OQ;4;34.1;2890.3
2;OQ;4;24.3;2062.2
1;OQ;4;9.8;828.0
3;OQ;3;18.5;1565.7
2;OQ;3;10.3;871.8
1;OQ;3;8.2;693.9
3;OQ;2;0.6;50.8
2;OQ;2;0.3;26.1
1;OQ;2;0.3;24.7
3;OQ;1;0.0;0.3
2;OQ;1;0.0;0.3
3;MN;z;100.0;2687.0
2;MN;z;47.8;1284.8
1;MN;z;52.2;1402.2
3;MN;6;16.1;433.7
2;MN;6;7.5;201.0
1;MN;6;8.7;232.8
3;MN;5;17.4;467.5
2;MN;5;10.8;291.5
1;MN;5;6.5;176.0
3;MN;4;24.0;645.8
2;MN;4;12.9;345.7
1;MN;4;11.2;300.1
3;MN;3;35.7;959.6
2;MN;3;14.7;395.4
1;MN;3;21.0;564.2
3;MN;2;6.5;174.4
2;MN;2;1.8;48.8
1;MN;2;4.7;125.6
3;MN;1;0.1;3.7
2;MN;1;0.0;0.8
1;MN;1;0.1;2.8
3;JZ;z;100.0;874.2
2;JZ;z;31.2;272.7
1;JZ;z;68.8;601.5
3;JZ;6;2.2;19.0
2;JZ;6;0.9;7.6
1;JZ;6;1.3;11.4
3;JZ;5;7.6;66.4
2;JZ;5;4.3;37.5
1;JZ;5;3.3;28.9
3;JZ;4;22.7;198.2
2;JZ;4;8.2;71.8
1;JZ;4;14.5;126.4
3;JZ;3;64.1;560.4
2;JZ;3;17.2;150.1
1;JZ;3;46.9;410.3
3;JZ;2;3.4;29.7
2;JZ;2;0.6;5.5
1;JZ;2;2.8;24.2
3;JZ;1;0.0;0.4
1;JZ;1;0.0;0.4
3;GI;z;100.0;5830.9
2;GI;z;42.0;2448.0
1;GI;z;58.0;3382.8
3;GI;6;25.1;1462.5
2;GI;6;3.9;228.2
1;GI;6;21.2;1234.3
3;GI;5;32.2;1876.4
2;GI;5;21.7;1263.6
1;GI;5;10.5;612.8
3;GI;4;19.7;1148.9
2;GI;4;8.7;509.5
1;GI;4;11.0;639.5
3;GI;3;10.9;637.1
2;GI;3;4.1;238.7
1;GI;3;6.8;398.4
