annee;secteur;pop_femmes;pop_total;part_femmes;famille
2022;Agriculture, sylviculture et pêche;214.5;722.1;29.7;Autres secteurs
2022;Alimentation, boissons, tabac;283.5;655.7;43.2;Industrie
2022;Autres industries manufacturières;93.2;362.4;25.7;Industrie
2022;Bois, papier, imprimerie;47.6;188.8;25.2;Industrie
2022;Caoutchouc, plastiques, minéraux;73.2;274.6;26.7;Industrie
2022;Cokéfaction et raffinage;0.7;6.6;10.6;Industrie
2022;Commerce, transports, hébergement;2655.2;6293.5;42.2;Autres secteurs
2022;Construction;235.1;1838.6;12.8;Autres secteurs
2022;Eau, assainissement, déchets;62.0;216.5;28.6;Industrie
2022;Hébergement médico-social, action sociale;1661.2;1982.5;83.8;Autres secteurs
2022;Industrie (total);1100.5;3535.3;31.1;Autres secteurs
2022;Industrie chimique;57.1;163.6;34.9;Industrie
2022;Industrie pharmaceutique;44.3;92.5;47.9;Industrie
2022;Industries extractives;6.4;39.1;16.4;Industrie
2022;Information et communication;297.3;977.2;30.4;Autres secteurs
2022;Informatique, électronique, optique;61.1;171.0;35.7;Industrie
2022;Machines et équipements;31.6;175.8;18.0;Industrie
2022;Matériels de transport;79.3;340.4;23.3;Industrie
2022;Métallurgie, produits métalliques;78.7;413.4;19.0;Industrie
2022;Santé humaine;1490.7;1979.7;75.3;Autres secteurs
2022;Textile, habillement, cuir;85.3;131.6;64.8;Industrie
2022;Transports et entreposage;384.0;1443.9;26.6;Autres secteurs
2022;Électricité, gaz, vapeur;60.1;183.6;32.7;Industrie
2022;Équipements électriques;36.4;119.8;30.4;Industrie
2023;Activités financières et assurance;534.6;941.9;56.8;Autres secteurs
2023;Activités informatiques;180.2;626.9;28.7;Autres secteurs
2023;Activités spécialisées et soutien;1593.3;3242.9;49.1;Autres secteurs
2023;Admin. publique, enseignement, santé;5997.4;8752.3;68.5;Autres secteurs
2023;Agriculture, sylviculture et pêche;223.8;710.0;31.5;Autres secteurs
2023;Alimentation, boissons, tabac;277.7;627.6;44.2;Industrie
2023;Autres industries manufacturières;106.8;368.3;29.0;Industrie
2023;Bois, papier, imprimerie;53.9;187.8;28.7;Industrie
2023;Caoutchouc, plastiques, minéraux;73.8;292.1;25.3;Industrie
2023;Cokéfaction et raffinage;1.8;6.2;29.0;Industrie
2023;Commerce, transports, hébergement;2603.3;6228.6;41.8;Autres secteurs
2023;Construction;236.8;1812.3;13.1;Autres secteurs
2023;Eau, assainissement, déchets;54.5;219.2;24.9;Industrie
2023;Hébergement médico-social, action sociale;1683.6;2020.9;83.3;Autres secteurs
2023;Industrie (total);1129.7;3641.6;31.0;Autres secteurs
2023;Industrie chimique;62.9;158.3;39.7;Industrie
2023;Industrie pharmaceutique;45.2;94.4;47.9;Industrie
2023;Industries extractives;6.1;34.9;17.5;Industrie
2023;Information et communication;320.0;1013.5;31.6;Autres secteurs
2023;Informatique, électronique, optique;58.8;170.5;34.5;Industrie
2023;Machines et équipements;42.5;191.6;22.2;Industrie
2023;Matériels de transport;77.4;369.8;20.9;Industrie
2023;Métallurgie, produits métalliques;77.6;443.5;17.5;Industrie
2023;Santé humaine;1549.2;2056.8;75.3;Autres secteurs
2023;Textile, habillement, cuir;86.6;141.4;61.2;Industrie
2023;Transports et entreposage;381.9;1445.7;26.4;Autres secteurs
2023;Électricité, gaz, vapeur;64.9;216.9;29.9;Industrie
2023;Équipements électriques;39.1;119.2;32.8;Industrie
2024;Activités financières et assurance;540.8;973.8;55.5;Autres secteurs
2024;Activités informatiques;178.3;639.8;27.9;Autres secteurs
2024;Activités spécialisées et soutien;1604.9;3251.1;49.4;Autres secteurs
2024;Admin. publique, enseignement, santé;5903.4;8580.1;68.8;Autres secteurs
2024;Agriculture, sylviculture et pêche;201.1;681.5;29.5;Autres secteurs
2024;Alimentation, boissons, tabac;258.6;620.4;41.7;Industrie
2024;Autres industries manufacturières;107.8;364.5;29.6;Industrie
2024;Bois, papier, imprimerie;57.4;192.3;29.8;Industrie
2024;Caoutchouc, plastiques, minéraux;65.2;270.4;24.1;Industrie
2024;Cokéfaction et raffinage;1.3;6.0;21.7;Industrie
2024;Commerce, transports, hébergement;2664.9;6367.6;41.9;Autres secteurs
2024;Construction;244.4;1909.1;12.8;Autres secteurs
2024;Eau, assainissement, déchets;71.6;256.1;28.0;Industrie
2024;Hébergement médico-social, action sociale;1610.1;1943.5;82.8;Autres secteurs
2024;Industrie (total);1123.5;3656.1;30.7;Autres secteurs
2024;Industrie chimique;66.2;162.7;40.7;Industrie
2024;Industrie pharmaceutique;47.3;86.3;54.8;Industrie
2024;Industries extractives;4.1;28.5;14.4;Industrie
2024;Information et communication;324.3;1034.7;31.3;Autres secteurs
2024;Informatique, électronique, optique;59.6;169.6;35.1;Industrie
2024;Machines et équipements;40.8;195.2;20.9;Industrie
2024;Matériels de transport;72.6;357.2;20.3;Industrie
2024;Métallurgie, produits métalliques;77.3;450.6;17.2;Industrie
2024;Santé humaine;1507.0;1992.0;75.7;Autres secteurs
2024;Textile, habillement, cuir;86.4;137.0;63.1;Industrie
2024;Transports et entreposage;366.8;1460.0;25.1;Autres secteurs
2024;Électricité, gaz, vapeur;81.2;250.9;32.4;Industrie
2024;Équipements électriques;26.1;108.4;24.1;Industrie
